molecular_weight	aromaticity	instability	flexibility	gravy_bm	isoelectric_point	charge_at_pH_7	helix_fract	sheet_fract	molar_ext_coef_cysteines
Giardia-intestinalis_tr|E2RTV9|E2RTV9-GIAIC	0.0378763009002242	0.0812659585694849	0.0130624594962424	-0.08072866802501	0.000666043837976461	-0.00927691682024856	-0.0305554099434359	-0.0146564656430971	-0.0349796426346007	0.104205874044307
Naegleria-gruberi_tr|D2UY79|D2UY79-NAEGR	-0.0370260685619618	0.0271730404727264	-0.0678374247578758	-0.105032533692907	0.127118946921499	0.0339226816391689	-0.0105101912951512	0.103529563182202	-0.0355886421422988	-0.0225535920931821
Tetrahymena-thermophila_tr|Q22LR2|Q22LR2-TETTS	0.126471269227172	0.000882686137176279	0.0252848976587222	0.166383035519225	-0.146218244621509	0.0963639601686932	0.0759794145752824	-0.123895693169762	-0.0547586432283983	0.080119933749154
Paramecium-tetraurelia_tr|A0CM98|A0CM98-PARTE	0.329877112006052	-0.0659203486405558	0.128770050069302	0.0818133478734481	-0.222728771583089	0.101983579080153	0.151409355809544	-0.0440846486958915	-0.123349851939925	0.208726426874918
Paramecium-tetraurelia_tr|A0D3B6|A0D3B6-PARTE	-0.00832236344403788	-0.25703990400959	0.270502892549222	0.102988146591312	-0.00529148173777019	0.381279355002728	0.0626601609475343	-0.343187641666002	0.144127817295678	-0.0370271938724094
Paramecium-tetraurelia_tr|A0D3B5|A0D3B5-PARTE	-0.130414073063056	0.166226863680682	-0.126602168450621	-0.108090804581315	0.143831489483484	-0.158104495049064	-0.0641981855719046	0.261002896466242	0.00947045337645905	-0.0637502870069695
Sphaeroforma-arctica_tr|A0A0L0G317|A0A0L0G317-9EUKA	0.142270280486917	-0.0391307636865463	-0.08204995671239	0.0730729624010929	-0.124237093153051	0.211457262529231	0.184312739629322	-0.106877326564657	0.00886318291094486	0.0652957162239172
Abeoforma-whisleri_Awhi-evm1s11489	-0.172729699778534	0.034888412214963	0.0703015319405932	-0.0958537133246955	0.192645703081574	-0.198284342178665	-0.120157181866922	0.107074546821806	0.0595680569652193	-0.0915423669625463
Nematostella-vectensis_tr|A7SFZ1|A7SFZ1-NEMVE	-0.0801818009306616	0.1582583352245	-0.134474279855965	-0.221632513531785	0.138003271972632	-0.00220460242425529	-0.103476120405697	0.113256742935358	0.0238648502887514	0.0634525287682918
Exaiptasia-diaphana_tr|A0A913XDR4|A0A913XDR4-EXADI	-0.00950912748126759	0.0343318574554936	0.0311645580055465	-0.0181881338966482	0.0109433490087096	0.0260656345222189	0.0727566952496209	-0.00432879720791403	-0.0173613698343593	0.0192396469458985
Clytia-hemisphaerica_tr|A0A7M5WYP4|A0A7M5WYP4-9CNID	0.0344719259944345	-0.109524918101412	-0.00931699948006576	0.155239877320738	-0.185339169030172	-0.00701892486039564	-0.0406930714895443	-0.19157440735361	0.0348321949640174	-0.0270924480383422
Hydra-vulgaris_tr|A0A8B7DQ19|A0A8B7DQ19-HYDVU	-0.00212535116005469	0.0591309097672654	-0.0855452876936606	-0.0201488392143282	0.0472229879117715	0.0111822107422826	0.0100940662826058	0.107250748664566	-0.114314723921364	-0.00994106475890247
Xenopus-tropicalis_tr|F7BCP5|F7BCP5-XENTR	0.0212340980056676	-0.0438161087531931	-0.202929237665229	0.0470857140486293	0.00357028609599241	0.0086245107206121	0.11605757859493	0.00989402785903017	-0.125102122704749	-0.0110594733401515
Microcebus-murinus_tr|A0A8C5UPL2|A0A8C5UPL2-MICMU	0.0988951739791218	0.24642742889001	-0.245156292884272	-0.191191560139229	0.272142363083288	-0.066793507213943	-0.151420531472668	0.193957315895076	0.0544680977265144	0.106981695615293
Microcebus-murinus_tr|A0A8C5W7F7|A0A8C5W7F7-MICMU	-0.27649621941892	-0.183007380183299	0.468650148805295	0.324802504965336	-0.419315912389238	0.0429821439368685	-0.0236539208619333	-0.212162742882712	-0.21468586384125	-0.159597818827096
Carlito-syrichta_tr|A0A1U7U8T4|A0A1U7U8T4-CARSF	-0.00196357893187348	-0.0686739685285891	0.0637254588491753	0.144693959615601	-0.112161776493157	0.0298348247611148	0.0489350151000689	-0.0583938671532577	0.0260317548701178	-0.0571835430450547
Homo-sapiens_sp|Q9Y2R4|DDX52-HUMAN	-0.00447263161963421	-0.0495068665596088	0.206158037266611	0.0383312045911412	-0.00475875187619858	0.0179109583327529	0.0505530119614584	0.0256197326209869	-0.061538165100669	-0.0265504132567685
Pan-troglodytes_tr|H2QCS3|H2QCS3-PANTR	-0.0132501618623127	-0.26970729647504	-0.121050719782221	0.267834112389885	-0.166218089972711	0.0975766895562788	0.275406567458156	-0.202934767112314	-0.0405571815968237	-0.144643373281764
Macaca-mulatta_tr|A0A5F8A6W6|A0A5F8A6W6-MACMU	0.00186550330129912	0.131574156345702	0.178174906467995	-0.179397749972654	0.0746089501882005	-0.11232324169438	-0.327553777140795	0.0980145339364674	-0.0255100633931567	0.150789607365034
Callithrix-jacchus_tr|A0A8I3WTL5|A0A8I3WTL5-CALJA	0.0136736511136686	0.106578210358656	0.0301519598918261	-0.145875903278411	0.077013107222283	-0.0212219347774173	-0.0492705487737927	0.0791864909145136	0.0107968536832429	0.0451593877048472
Mus-musculus_sp|Q8K301|DDX52-MOUSE	0.00443367034887676	0.107092284142626	-0.0899243716038917	0.00875511314437428	0.082065618589609	-0.0172316538418122	-0.0483639377047446	0.131776929596567	-0.0635465381141867	0.00436512813340655
Anolis-carolinensis_tr|H9GBI5|H9GBI5-ANOCA	-0.0482712260796816	0.0933264338516026	0.1272514485943	-0.0748245820019697	0.1084057636515	0.0284516742888224	0.0369357866662697	0.0582341540623676	0.0849708865106272	0.0683415453044993
Taeniopygia-guttata_tr|H0ZDC4|H0ZDC4-TAEGU	0.0085489661780838	-0.0691301010905751	0.0020252417406885	0.109796650782402	-0.0779264553815731	0.00836650280057463	0.0672729577968029	-0.109127047692277	0.0998605924734976	-0.00261041486653179
